Date|Book|Security|Delta|TdyPnL|BODPnL|TdingPnL|DivPnL|LastPx|PrevCLS|Position|BODPos|Bought|BuyPx|Sold|SellPx|Multiplier|SecType|Curncy|YTDPnL|MTDPnL|WTDPnL
20190417|FTRUS|HFBC US|8376.75|-71.5000000000003|-73.5000000000003|1.99999999999996|0|19.71|19.85|425|525|0|0|100|19.73|1|EQUITY|USD|-746.175000000001|-746.175000000001|-746.175000000001
20190417|FTRUS|HIL US|17377.08|-63.4199999999987|-63.4199999999987|0|0|2.74|2.75|6342|6342|0|0|0|0|1|EQUITY|USD|-265.049999999984|-265.049999999984|-265.049999999984
20190417|FTRUS|HNGR US|111030|-5250|-5250|0|0|18.505|19.38|6000|6000|0|0|0|0|1|EQUITY|USD|-51213.76|-51213.76|-51213.76
20190417|FTRUS|HWBK US|5050.35|-139.4|-107.900000000001|-31.4999999999998|0|23.49|23.75|215|415|0|0|200|23.3325|1|EQUITY|USD|-1747.103|-1747.103|-1747.103
20190417|FTRUS|IDEX US|40828.86|658.530000000001|658.530000000001|0|0|1.86|1.83|21951|21951|0|0|0|0|1|EQUITY|USD|1858.2855|1858.2855|1858.2855
20190417|FTRUS|IDT US|35891.7768|-400.303200000003|-400.303200000003|0|0|6.9129|6.99|5192|5192|0|0|0|0|1|EQUITY|USD|-2916.72200000002|-2916.72200000002|-2916.72200000002
20190417|FTRUS|IGV US|0|0|-0|0|0|211.76|213.76|0|0|0|0|0|0|1|EQUITY|USD|-35.7400004940431|-35.7400004940431|-35.7400004940431
20190417|FTRUS|IMXI US|66158.19|386.890000000002|386.890000000002|0|0|11.97|11.9|5527|5527|0|0|0|0|1|EQUITY|USD|4190.75500000005|4190.75500000005|4190.75500000005
20190417|FTRUS|INS US|76390.93|-43.5399999999913|-43.5399999999913|0|0|35.09|35.11|2177|2177|0|0|0|0|1|EQUITY|USD|-3665.5720999999|-3665.5720999999|-3665.5720999999
20190417|FTRUS|INSE US|10475.91|-45.0900000000004|-45.0900000000004|0|0|6.97|7|1503|1503|0|0|0|0|1|EQUITY|USD|-374.460000000004|-374.460000000004|-374.460000000004
20190417|FTRUS|INSG US|63657.27|-2705.79000000001|-2705.79000000001|0|0|4.47|4.66|14241|14241|0|0|0|0|1|EQUITY|USD|-26211.0379000001|-26211.0379000001|-26211.0379000001
20190417|FTRUS|IVAC US|0|0|-0|0|0|4.905|4.91|0|0|0|0|0|0|1|EQUITY|USD|-3660.8|-3660.8|-3660.8
20190417|FTRUS|IWM US|0|0|-0|0|0|155.67|157.54|0|0|0|0|0|0|1|EQUITY|USD|-28163.1800000005|-28163.1800000005|-28163.1800000005
20190417|FTRUS|IWO UP|0|0|-0|0|0|197.63|201.09|0|0|0|0|0|0|1|EQUITY|USD|5800.00000000013|5800.00000000013|5800.00000000013
20190417|FTRUS|IWO US|-909052|15962|15962|0|-0|197.62|201.09|-4600|-4600|0|0|0|0|1|EQUITY|USD|147219.68|147219.68|147219.68
20190417|FTRUS|JYNT US|52438.2|-1908|-1908|0|0|16.49|17.09|3180|3180|0|0|0|0|1|EQUITY|USD|-13949.166|-13949.166|-13949.166
20190417|FTRUS|KALV US|60207.47|-870.119999999999|-870.119999999999|0|0|24.91|25.27|2417|2417|0|0|0|0|1|EQUITY|USD|-12551.545|-12551.545|-12551.545
20190417|FTRUS|KLDO US|70728.24|2457.18|2457.18|0|0|14.68|14.17|4818|4818|0|0|0|0|1|EQUITY|USD|25326.107|25326.107|25326.107
20190417|FTRUS|KRYS US|67687.43|-1737.89000000001|-1737.89000000001|0|0|29.99|30.76|2257|2257|0|0|0|0|1|EQUITY|USD|-20462.9530000001|-20462.9530000001|-20462.9530000001
20190417|FTRUS|LEE US|32004.5|-581.900000000002|-581.900000000002|0|0|3.025|3.08|10580|10580|0|0|0|0|1|EQUITY|USD|-7871.63750000001|-7871.63750000001|-7871.63750000001
20190417|FTRUS|LFVN US|33762.83|-1346.84|-1346.84|0|0|11.03|11.47|3061|3061|0|0|0|0|1|EQUITY|USD|-19459.515|-19459.515|-19459.515
20190417|FTRUS|MCHX US|36714.1284|-67.0715999999974|-67.0715999999974|0|0|5.0907|5.1|7212|7212|0|0|0|0|1|EQUITY|USD|1884.69400000003|1884.69400000003|1884.69400000003
20190417|FTRUS|MEIP US|42141.75|-2565.15|-2565.15|0|0|2.875|3.05|14658|14658|0|0|0|0|1|EQUITY|USD|-26966.945|-26966.945|-26966.945
20190417|FTRUS|MFIN US|34390.8|-147.599999999997|-147.599999999997|0|0|6.99|7.02|4920|4920|0|0|0|0|1|EQUITY|USD|-1209.52799999997|-1209.52799999997|-1209.52799999997
20190417|FTRUS|MFNC US|13083.84|0|0|0|0|15.84|15.84|826|826|0|0|0|0|1|EQUITY|USD|345.809999999999|345.809999999999|345.809999999999
20190417|FTRUS|MGY US|250985.28|3527.15999999999|3527.15999999999|0|0|13.52|13.33|18564|18564|0|0|0|0|1|EQUITY|USD|48046.2099999999|48046.2099999999|48046.2099999999
20190417|FTRUS|MLND US|48484.8|-279.72|-279.72|0|0|15.6|15.69|3108|3108|0|0|0|0|1|EQUITY|USD|-6345.20999999999|-6345.20999999999|-6345.20999999999
20190417|FTRUS|MMAC US|33954.2|121.107000000001|121.107000000001|0|0|30.7|30.5905|1106|1106|0|0|0|0|1|EQUITY|USD|-862.433999999993|-862.433999999993|-862.433999999993
20190417|FTRUS|MRKR US|67424.83|-1099.67999999999|-1940.38|840.700000000005|0|5.41|5.67|12463|7463|5000|5.24186|0|0|1|EQUITY|USD|-18848.3740999999|-18848.3740999999|-18848.3740999999
20190417|FTRUS|MSON US|29343.68|-976.98|-976.98|0|0|17.12|17.69|1714|1714|0|0|0|0|1|EQUITY|USD|-11640.1986|-11640.1986|-11640.1986
20190417|FTRUS|MTUM US|0|0|-0|0|0|111.39|112.36|0|0|0|0|0|0|1|EQUITY|USD|-1672.9999999999|-1672.9999999999|-1672.9999999999
20190417|FTRUS|NBEV US|66982.52|-388.680000000003|-388.680000000003|0|0|5.17|5.2|12956|12956|0|0|0|0|1|EQUITY|USD|3381.02099999996|3381.02099999996|3381.02099999996
20190417|FTRUS|OCX US|46628.5167|-2481.7833|-2481.7833|0|0|4.0827|4.3|11421|11421|0|0|0|0|1|EQUITY|USD|-27544.203|-27544.203|-27544.203
